id,building,name,Jumlah fasilitas medis,skor_MdS,prioritas
way/119777448,mosque,Masjid Jami' Al Insaniyyah,0,0,Prioritas 5
way/120390234,yes,Gedung Pertemuan Advent,0,0,Prioritas 5
way/120498549,government_office,Kantor Suku Dinas Kesehatan Kota Adminitrasi Jakarta Timur,1,1,Prioritas 4
way/120882287,mosque,Masjid Al Hidayah,1,1,Prioritas 4
way/120882289,school,Gedung I SMP Yasporbi,1,1,Prioritas 4
way/120882291,school,Gedung II SMP Yasporbi,1,1,Prioritas 4
way/120882297,school,SD Yasporbi,0,0,Prioritas 5
way/120882300,school,SMA Yasporbi,0,0,Prioritas 5
way/120983739,school,SMA YAKE,0,0,Prioritas 5
way/122152069,school,SMP Negeri 57 Jakarta,0,0,Prioritas 5
way/122152168,mosque,Masjid At-Taufiq,0,0,Prioritas 5
way/122211447,school,,0,0,Prioritas 5
way/122211525,mosque,Masjid Jami Ar Ridwan,0,0,Prioritas 5
way/155934361,school,SD Negeri Balimester 06,0,0,Prioritas 5
way/155935202,church,GPIB Koinonia,1,1,Prioritas 4
way/155945069,school,"TK, SD, SMP, SMA, SMK Cahaya Sakti",1,1,Prioritas 4
way/155945921,school,,0,0,Prioritas 5
way/155945922,school,SD Negeri Balimester 01,0,0,Prioritas 5
way/155949205,mosque,Masjid Jami' Al Hikmah,0,0,Prioritas 5
way/155950048,police,Polres Metropolitan Jakarta Timur,1,1,Prioritas 4
way/157354634,mosque,Masjid Al-Makmur,0,0,Prioritas 5
way/157354636,mosque,Masjid Al-Barokah,0,0,Prioritas 5
way/157354639,school,,0,0,Prioritas 5
way/157354640,school,SD Negeri 07 Menteng Dalam,0,0,Prioritas 5
way/157354645,government_office,,1,1,Prioritas 4
way/157358448,church,HKBP Menteng Lama,0,0,Prioritas 5
way/157358452,church,Gereja Gesmani,1,1,Prioritas 4
way/157358459,warehouse,Gudang Dealer Kawasaki,1,1,Prioritas 4
way/157358485,mosque,Masjid Jami Tangkuban Perahu,0,0,Prioritas 5
way/157358492,government_office,,0,0,Prioritas 5
way/157358499,government_office,,0,0,Prioritas 5
way/157358500,government_office,PKBN,2,2,Prioritas 3
way/157358528,university,Pasca Sarjana Universitas Brawijaya,1,1,Prioritas 4
way/157358529,school,TK Kristen dan SD Kristen 9 Penabur,0,0,Prioritas 5
way/157358541,school,SDN 01 Pagi 06 Petang 08 Pagi 09 Pagi,3,4,Prioritas 1
way/157358543,school,SD Negeri Guntur 03 Pagi,2,2,Prioritas 3
way/157358552,university,Universitas Negeri Jakarta Kampus D Psikologi,1,1,Prioritas 4
way/157358555,church,Gereja Kristen Indonesia,2,2,Prioritas 3
way/157361113,public,Yayasan Seni Rupa Indonesia,2,2,Prioritas 3
way/157362100,mosque,Masjid Jami Al Izzah,0,0,Prioritas 5
way/157362101,mosque,Masjid Jami Al Jihad,2,2,Prioritas 3
way/157362102,mosque,Masjid Jami Darul Falah,0,0,Prioritas 5
way/157362103,mosque,Masjid Jami Al Huda,0,0,Prioritas 5
way/157362104,mosque,Masjid Al-Muttaqien,0,0,Prioritas 5
way/157362105,mosque,Masjid Raudhatul Jannah,0,0,Prioritas 5
way/157362106,mosque,Masjid Ar-Rahmah,0,0,Prioritas 5
way/157362107,school,SD Negeri 010 Tebet Timur,0,0,Prioritas 5
way/157362108,school,,0,0,Prioritas 5
way/157362112,school,,0,0,Prioritas 5
way/157362641,school,,2,2,Prioritas 3
way/157362646,mosque,Masjid At Taufieq,1,1,Prioritas 4
way/157362650,mosque,Masjid Namira,0,0,Prioritas 5
way/157362652,church,Gereja Taman Firdaus,1,1,Prioritas 4
way/157362655,church,HKBP Tebet Barat,2,2,Prioritas 3
way/157362656,mosque,Masjid Al Muhajirin,0,0,Prioritas 5
way/157362659,mosque,Masjid Jami' Al-Muqorrobin,0,0,Prioritas 5
way/157362667,school,Madina Islamic School,0,0,Prioritas 5
way/157362668,school,SMA-SMK 17 Agustus 1945,0,0,Prioritas 5
way/157362672,college,STIE Widya Jayakarta,0,0,Prioritas 5
way/157362673,police,Polsek Tebet,3,4,Prioritas 1
way/157362677,school,SMK Muhamaddiyah 23,0,0,Prioritas 5
way/157362680,mosque,Masjid Al Ittihaad,0,0,Prioritas 5
way/157365965,school,,0,0,Prioritas 5
way/157482220,mosque,Masjid Jami Baitun Nur,0,0,Prioritas 5
way/157482932,mosque,Masjid As-Sakiinah,0,0,Prioritas 5
way/158041731,church,Simultaankerk,0,0,Prioritas 5
way/162810544,mosque,Masjid Al-Istiqomah,0,0,Prioritas 5
way/162810656,mosque,Masjid Ar-Rahman,0,0,Prioritas 5
way/162931649,mosque,Masjid Toladan,0,0,Prioritas 5
way/174128186,church,Gereja Kristen Jawa,0,0,Prioritas 5
way/174132864,church,Gereka HKBP Rawamangun,3,4,Prioritas 1
way/180547856,government_office,,0,0,Prioritas 5
way/207160113,school,,0,0,Prioritas 5
way/224604848,mosque,Masjid Jami' Al-Muttahidin,0,0,Prioritas 5
way/225192126,mosque,Musholla,0,0,Prioritas 5
way/225195944,,Masjid Tebet Barat,2,2,Prioritas 3
way/225202731,mosque,,0,0,Prioritas 5
way/228166625,mosque,Musholla Nurul Huda,1,1,Prioritas 4
way/228170254,school,,0,0,Prioritas 5
way/237619264,mosque,Musholla At-Taufiq,0,0,Prioritas 5
way/283061777,mosque,Musholla As Syarief,0,0,Prioritas 5
way/413709312,mosque,Masjid Jami Al-Falah,0,0,Prioritas 5
way/426761663,university,Gedung R.A Kartini,0,0,Prioritas 5
way/426761664,university,Gedung Raden Dewi Sartika,0,0,Prioritas 5
way/426761665,mosque,Masjid Nurul Irfan,0,0,Prioritas 5
way/426761668,university,Perpustakaan UNJ,0,0,Prioritas 5
way/426962753,university,Fakultas Bahasa Dan Seni,0,0,Prioritas 5
way/426962755,university,Gedung KH. Hasjim Asj'arie,0,0,Prioritas 5
way/426962758,university,Fakultas Ilmu Pendidikan UNJ,0,0,Prioritas 5
way/426962772,university,Gedung Pascasarjana,0,0,Prioritas 5
way/426962779,university,Fakultas Ilmu Sosial dan Hukum UNJ,0,0,Prioritas 5
way/438869927,mosque,Musholla Darussa'adah,0,0,Prioritas 5
way/481723199,government_office,,0,0,Prioritas 5
way/481723210,government_office,,0,0,Prioritas 5
way/481723238,mosque,Masjid At-Taqwa,0,0,Prioritas 5
way/481723242,government_office,,0,0,Prioritas 5
way/481723243,government_office,,0,0,Prioritas 5
way/481723244,government_office,Gedung M . Tabrani,0,0,Prioritas 5
way/481723245,government_office,Gedung Iswara,0,0,Prioritas 5
way/481723246,government_office,Gedung Darma,0,0,Prioritas 5
way/481914482,public,Komisi Pemberantasan Korupsi,0,0,Prioritas 5
way/481941865,mosque,Masjid Teladan,0,0,Prioritas 5
way/481949203,school,,2,2,Prioritas 3
way/482127744,school,PKBM Negeri 21,0,0,Prioritas 5
way/482142942,school,SD Negeri Tebet Barat 7,0,0,Prioritas 5
way/482142995,school,SD Negeri Tebet Barat 3,0,0,Prioritas 5
way/482142997,school,SD Negeri Tebet Barat 1,0,0,Prioritas 5
way/482147147,police,Subdit Gakkum Ditlantas Polda Metro Jaya,0,0,Prioritas 5
way/482147671,mosque,Masjid Jami Baiturrohmah,0,0,Prioritas 5
way/482154882,school,,0,0,Prioritas 5
way/482155325,school,SMA Negeri 26 Jakarta,0,0,Prioritas 5
way/482158715,school,Mifda Islamic School,0,0,Prioritas 5
way/482163073,school,,0,0,Prioritas 5
way/482163098,mosque,Masjid Jami Al Abror,0,0,Prioritas 5
way/482178642,college,Sekolah Tinggi Ilmu Bahasa Asing,0,0,Prioritas 5
way/482178652,church,GBI Filadelfia,0,0,Prioritas 5
way/482355716,church,Gereja Sidang Jemaat Pentakosta,2,2,Prioritas 3
way/482355804,church,Gereja Kristen Pasundan Jemaat Rehoboth,0,0,Prioritas 5
way/482373390,school,,0,0,Prioritas 5
way/482373463,school,,0,0,Prioritas 5
way/482373535,school,,0,0,Prioritas 5
way/482373573,school,,0,0,Prioritas 5
way/482377677,school,,1,1,Prioritas 4
way/482399740,mosque,Masjid At Taqwa,0,0,Prioritas 5
way/482409446,yes,Gereja Orang-Orang Suci Zaman Akhir,0,0,Prioritas 5
way/482426686,church,GPdI Antiokhia,0,0,Prioritas 5
way/483346281,government_office,Graha Pertamina PBAS,0,0,Prioritas 5
way/483346285,mosque,Masjid Baitul Ikhlas,0,0,Prioritas 5
way/483349063,university,,0,0,Prioritas 5
way/483363989,mosque,Masjid Al-Muthohhirin,0,0,Prioritas 5
way/483384582,mosque,Musholla As Syarief,0,0,Prioritas 5
way/483404446,school,Sekolah Bina Gita Gemilang,0,0,Prioritas 5
way/483404620,mosque,Masjid Jami' An-Nur,1,1,Prioritas 4
way/483404636,school,MI Al Ittihadiyah Al Islamiyah,1,1,Prioritas 4
way/483404731,church,GBI Soepomo,0,0,Prioritas 5
way/483573384,school,MI Al Husna,0,0,Prioritas 5
way/483573385,mosque,Masjid Al-Husna,0,0,Prioritas 5
way/483594362,school,TK SD SMP Daarul Quran,0,0,Prioritas 5
way/483597870,school,,0,0,Prioritas 5
way/483597871,school,,0,0,Prioritas 5
way/483600703,mosque,Masjid Al Khairiyah,0,0,Prioritas 5
way/483608213,mosque,Masjid Al Mubarakah,0,0,Prioritas 5
way/483624488,school,Yayasan St. Fransiskus Asisi,1,1,Prioritas 4
way/483626607,government_office,,0,0,Prioritas 5
way/483628625,mosque,Musholla At'Taubah,0,0,Prioritas 5
way/484636778,university,Universitas Wiraswasta Indonesia,1,1,Prioritas 4
way/484646198,school,TK SD SMP Yayasan Pendidikan Islam Al Bayyan,0,0,Prioritas 5
way/484649212,school,,1,1,Prioritas 4
way/484660905,school,TK SD 17 Agustus,0,0,Prioritas 5
way/484676529,school,,0,0,Prioritas 5
way/484851694,mosque,Masjid Jami'iyyatuliman,0,0,Prioritas 5
way/484854775,school,SMA Muhamadiyah 5,0,0,Prioritas 5
way/484854776,school,SMK Muhamadiyah 7,0,0,Prioritas 5
way/485039937,school,SMK Negeri 32 Jakarta,0,0,Prioritas 5
way/485256663,church,G.P.P.S Gloria,0,0,Prioritas 5
way/485280708,mosque,Masjid Jami Arrohmah,1,1,Prioritas 4
way/485280712,government_office,Gedung Dinas Teknis Jatinegara - Dispemda Prov DKI Jakarta,0,0,Prioritas 5
way/485280771,mosque,Masjid Al - Fattah,0,0,Prioritas 5
way/485280795,government_office,Kantor PLN Jatinegara,2,2,Prioritas 3
way/486023736,school,,0,0,Prioritas 5
way/486023737,school,,0,0,Prioritas 5
way/486023738,school,,0,0,Prioritas 5
way/486023739,school,SD Negeri Balimester 03,0,0,Prioritas 5
way/486023740,school,,0,0,Prioritas 5
way/486023741,school,SD Negeri Balimester 03,0,0,Prioritas 5
way/486023742,school,SMP Negeri 14 Jakarta,0,0,Prioritas 5
way/486275915,church,GPIB Bukit Moria,0,0,Prioritas 5
way/486422380,government_office,KUA Kecamatan Tebet,2,2,Prioritas 3
way/486490445,church,Gereja Isa Almasih,0,0,Prioritas 5
way/486490650,school,,0,0,Prioritas 5
way/486490652,mosque,Masjid Jami Asy-Syarief,0,0,Prioritas 5
way/486507410,school,,0,0,Prioritas 5
way/486507411,school,,0,0,Prioritas 5
way/486507412,mosque,Masjid Jami' Al-Hidayah,0,0,Prioritas 5
way/486523938,mosque,Masjid Jami Nurul Huda,0,0,Prioritas 5
way/486548562,police,Kantor Polisi Sub. Sektor Menteng Dalam,0,0,Prioritas 5
way/486548690,church,Gereja St. Fransiskus Asisi,0,0,Prioritas 5
way/487351197,school,MI MTS Madrasah Tarbiatul Mutaallimin,0,0,Prioritas 5
way/487598528,school,,0,0,Prioritas 5
way/487643201,government_office,,0,0,Prioritas 5
way/487643202,government_office,,0,0,Prioritas 5
way/488174177,church,Gereja Baptis Indonesia GETSEMANI,0,0,Prioritas 5
way/488197084,school,,0,0,Prioritas 5
way/491995868,school,,0,0,Prioritas 5
way/492518304,government_office,BPJS Ketenagakerjaan,0,0,Prioritas 5
way/492518312,school,,0,0,Prioritas 5
way/492518313,school,,0,0,Prioritas 5
way/492518314,school,,0,0,Prioritas 5
way/492518315,school,,0,0,Prioritas 5
way/492518316,mosque,,0,0,Prioritas 5
way/492518317,school,,0,0,Prioritas 5
way/492518318,school,,0,0,Prioritas 5
way/492518319,school,,0,0,Prioritas 5
